item_id,title,call_number,contributors,date_extracted,notes,language,source_file,date,source_url,phys_format,dig_format,rights,image_url,subject_headings,link
91787443,"Carnegie Library, Cordele, Georgia",SSF - Libraries--Georgia--Cordele <item> [P&P],,,"['At bottom right of photo: ""Cordele Book Co.""', 'Wittemann Collection.']",['english'],data/ftu_libs_metadata/item_metadata-cph.3b41963.json,1916-01-01,https://www.loc.gov/item/91787443/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b41000/3b41900/3b41963v.jpg#h=823&w=1024,['Libraries--Georgia--Cordele--1910-1920'],https://www.loc.gov/pictures/item/91787443/
89710983,Silence / Mabel Dwight.,"FP - XX - D9922, no. 12 (A size) [P&P]","[{'dwight, mabel': 'https://www.loc.gov/search/?fa=contributor:dwight,+mabel&fo=json'}]",,"['Signed in pencil.', '""Federal Art Project, NYC WPA.""']",['english'],data/ftu_libs_metadata/item_metadata-cph.3b43255.json,1939-01-01,https://www.loc.gov/item/89710983/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,"No known restrictions on publication. For more information, see Federal Art Project (FAP) Prints  - Rights and Restrictions Information http://hdl.loc.gov/loc.pnp/res.750.fap",Did not identify a URL.,"['Reading rooms--1930-1940', 'Reading--1930-1940']",https://www.loc.gov/pictures/item/89710983/
97511671,"Carnegie Library, Sheldon, Iowa",U.S. GEOG FILE - Iowa--Sheldon <item> [P&P],,,"['H125256 U.S. Copyright Office.', 'No. 1.']",['english'],data/ftu_libs_metadata/item_metadata-cph.3c18157.json,1909-01-01,https://www.loc.gov/item/97511671/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,Undetermined,https://tile.loc.gov/storage-services/service/pnp/cph/3c10000/3c18000/3c18100/3c18157v.jpg#h=824&w=1024,['Libraries--Iowa--Sheldon--1900-1910'],https://www.loc.gov/pictures/item/97511671/
98508385,"Curb service 10,000 current books - convenient, free, time saving : Chicago Public Library, Randolph St. corridor.","POS - WPA - ILL .01 .C75, no. 1 (B size) [P&P]",[{'federal art project': 'https://www.loc.gov/search/?fa=contributor:federal+art+project&fo=json'}],,"['Date stamped on verso: Mar 25 1941.', 'Work Projects Administration Poster Collection (Library of Congress).']",['english'],data/ftu_libs_metadata/item_metadata-cph.3f05168.json,1936-01-01,https://www.loc.gov/item/98508385/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05100/3f05168v.jpg#h=1024&w=708,"['Chicago Public Library--Public relations--1930-1950', 'Bookmobiles--Illinois--Chicago--1930-1950', 'Libraries--Illinois--Chicago--1930-1950']",//www.loc.gov/pictures/item/98508385/
98508155,For greater knowledge on more subjects use your library more often,"POS - WPA - ILL .01 .F665, no. 1 (B size) [P&P]",[{'federal art project': 'https://www.loc.gov/search/?fa=contributor:federal+art+project&fo=json'}],,"['Work Projects Administration Poster Collection (Library of Congress).', 'Date stamped on verso: Jan 24 1941.']",['english'],data/ftu_libs_metadata/item_metadata-cph.3f05183.json,1936-01-01,https://www.loc.gov/item/98508155/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05100/3f05183v.jpg#h=1024&w=705,"['Libraries--Illinois--Chicago--1930-1950', 'Education--Illinois--Chicago--1930-1950']",https://www.loc.gov/pictures/item/98508155/
2016809661,"[Cossitt Library, Memphis, Tenn.]",LC-D4-34336 [P&P],[{'detroit publishing co.': 'https://www.loc.gov/search/?fa=contributor:detroit+publishing+co.&fo=json'}],,"['Title from jacket.', '""G 3834"" on negative.', 'Detroit Publishing Co. no. 034336.', 'Gift; State Historical Society of Colorado; 1949.']",['english'],data/ftu_libs_metadata/item_metadata-det.4a17925.json,1906-01-01,https://www.loc.gov/item/2016809661/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/det/4a10000/4a17000/4a17900/4a17925v.jpg#h=814&w=1024,"['Libraries', 'United States--Tennessee--Memphis']",//www.loc.gov/pictures/item/2016809661/
2016815290,"Little Rock Public Library, Little Rock, Ark.",LC-D4-71740 [P&P],[{'detroit publishing co.': 'https://www.loc.gov/search/?fa=contributor:detroit+publishing+co.&fo=json'}],,"['""G 6758"" on negative.', 'Detroit Publishing Co. no. 071740.', 'Gift; State Historical Society of Colorado; 1949.']",['english'],data/ftu_libs_metadata/item_metadata-det.4a23603.json,1905-01-01,https://www.loc.gov/item/2016815290/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/det/4a20000/4a23000/4a23600/4a23603v.jpg#h=820&w=1024,"['Libraries', 'United States--Arkansas--Little Rock']",//www.loc.gov/pictures/item/2016815290/
2014650180,"Buffalo, N.Y. -  Public library - children's room",LOT 6437 [item] [P&P],"[{'handy, levin c. (levin corbin)': 'https://www.loc.gov/search/?fa=contributor:handy,+levin+c.+%28levin+corbin%29&fo=json'}]",,"['Title from item.', 'Handwritten on recto: ""card 125, 1 plate, total 8.""', 'Stamped on recto: ""Negative by L.C. Handy.""', 'Print from copy negative by L.C. Handy.']",['english'],data/ftu_libs_metadata/item_metadata-ds.06507.json,1900-01-01,https://www.loc.gov/item/2014650180/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,Did not identify a URL.,"['Public libraries--New York (State)--Buffalo--1890-1910', 'Children--New York (State)--Buffalo--1890-1910', 'Reading--New York (State)--Buffalo--1890-1910']",https://www.loc.gov/pictures/item/2014650180/
2014647618,Main public library building - Detroit,"PCRD14, no. 171 [P&P]","[{'gilbert, cass': 'https://www.loc.gov/search/?fa=contributor:gilbert,+cass&fo=json'}]",,"['Title from item.', 'Includes advertisement for Berry Brothers, varnishes and paint specialties.', 'Library designed by Cass Gilbert.', '(PR 06 CN 037).']",['english'],data/ftu_libs_metadata/item_metadata-ds.06560.json,1921,https://www.loc.gov/item/2014647618/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,Did not identify a URL.,"['Detroit Public Library--Buildings--1920-1930', 'Berry Brothers--Public relations--1920-1930', 'Carnegie libraries--Michigan--Detroit--1920-1930', 'Public libraries--Michigan--Detroit--1920-1930']",https://www.loc.gov/pictures/item/2014647618/
2017762724,"Newspaper reading room of public library. Omaha, Nebraska",LC-USF34- 008833-D [P&P] LOT 412  (corresponding photographic print),"[{'vachon, john': 'https://www.loc.gov/search/?fa=contributor:vachon,+john&fo=json'}]",,"['Title and other information from caption card.', 'Transfer; United States. Office of War Information. Overseas Picture Division. Washington Division; 1944.', 'More information about the FSA/OWI Collection is available at http://hdl.loc.gov/loc.pnp/pp.fsaowi', 'Temp. note: usf34batch1']",['english'],data/ftu_libs_metadata/item_metadata-fsa.8b14169.json,1938-01-01,https://www.loc.gov/item/2017762724/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,"No known restrictions. For information, see U.S. Farm Security Administration/Office of War Information Black & White Photographs https://www.loc.gov/rr/print/res/071_fsab.html",https://tile.loc.gov/storage-services/service/pnp/fsa/8b14000/8b14100/8b14169v.jpg#h=783&w=1024,"['United States--Nebraska--Douglas County--Omaha', 'Omaha--Nebraska']",//www.loc.gov/pictures/item/2017762724/
